Company,Price,PreviousPrice,Change,ChangePct,Date
DFSM,17.23,16.65,0.58,3.48,2026-06-08
FCEPL,105.96,109.77,-3.81,-3.47,2026-06-08
DYNO,347.28,335.65,11.63,3.46,2026-06-08
SHCM,49.36,51.07,-1.71,-3.35,2026-06-08
HINO,352.32,364.42,-12.1,-3.32,2026-06-08
DLL,60.43,62.48,-2.05,-3.28,2026-06-08
GCIL,29.12,30.1,-0.98,-3.26,2026-06-08
IBLHL,49.49,51.13,-1.64,-3.21,2026-06-08
LIVEN,37.57,38.79,-1.22,-3.15,2026-06-08
TATM,132.89,137.21,-4.32,-3.15,2026-06-08
CEPB,28.51,29.43,-0.92,-3.13,2026-06-08
ARUJ,11.2,10.86,0.34,3.13,2026-06-08
AHTM,85.62,83.02,2.6,3.13,2026-06-08
GCIL-JUN,29.54,30.49,-0.95,-3.12,2026-06-08
GATI,86.67,89.45,-2.78,-3.11,2026-06-08
ICIBL,4.37,4.51,-0.14,-3.1,2026-06-08
UBDL,23.72,24.47,-0.75,-3.06,2026-06-08
EMCO,44.25,45.64,-1.39,-3.05,2026-06-08
TRG-JUN,70.06,72.22,-2.16,-2.99,2026-06-08
SCBPL,64.99,66.99,-2.0,-2.99,2026-06-08
AKDHL,175.09,170.01,5.08,2.99,2026-06-08
BRRG,46.33,44.99,1.34,2.98,2026-06-08
BFMOD,22.98,23.68,-0.7,-2.96,2026-06-08
LOTCHEM-JUN,29.09,28.26,0.83,2.94,2026-06-08
KOHC-JUN,90.97,93.73,-2.76,-2.94,2026-06-08
AATM,59.34,57.65,1.69,2.93,2026-06-08
GAL-JUN,462.06,475.9,-13.84,-2.91,2026-06-08
TRG,69.54,71.61,-2.07,-2.89,2026-06-08
LOTCHEM,28.86,28.05,0.81,2.89,2026-06-08
FEM,11.17,11.5,-0.33,-2.87,2026-06-08
MSCL,31.18,30.32,0.86,2.84,2026-06-08
AMBL,24.04,23.38,0.66,2.82,2026-06-08
HASCOL,22.15,22.79,-0.64,-2.81,2026-06-08
GAL,458.29,471.53,-13.24,-2.81,2026-06-08
ASLCPS,70.0,68.09,1.91,2.81,2026-06-08
CCM,38.0,39.09,-1.09,-2.79,2026-06-08
PIAHCLB,17500.0,18000.0,-500.0,-2.78,2026-06-08
BGL,10.58,10.88,-0.3,-2.76,2026-06-08
TPLRF1,8.23,8.01,0.22,2.75,2026-06-08
JSRR,10.31,10.6,-0.29,-2.74,2026-06-08
HCAR,261.78,269.12,-7.34,-2.73,2026-06-08
LSEVL,9.82,9.56,0.26,2.72,2026-06-08
DMC,211.69,217.61,-5.92,-2.72,2026-06-08
DBCI,8.38,8.16,0.22,2.7,2026-06-08
GADT,295.93,303.95,-8.02,-2.64,2026-06-08
DNCC,19.88,20.41,-0.53,-2.6,2026-06-08
IBFL,228.99,235.1,-6.11,-2.6,2026-06-08
NPL,68.79,70.62,-1.83,-2.59,2026-06-08
PIOC,267.47,274.58,-7.11,-2.59,2026-06-08
FML,50.67,52.0,-1.33,-2.56,2026-06-08
KOHC,89.15,91.47,-2.32,-2.54,2026-06-08
GDL,20.0,20.52,-0.52,-2.53,2026-06-08
POWER,20.19,20.71,-0.52,-2.51,2026-06-08
CLVL,12.93,13.26,-0.33,-2.49,2026-06-08
JSML,76.69,74.84,1.85,2.47,2026-06-08
ADMM,65.81,67.47,-1.66,-2.46,2026-06-08
KOIL,45.57,46.72,-1.15,-2.46,2026-06-08
MUGHALC,60.01,61.51,-1.5,-2.44,2026-06-08
MFL,46.98,48.15,-1.17,-2.43,2026-06-08
MLCF-JUN,85.99,88.12,-2.13,-2.42,2026-06-08
RICL,12.0,11.72,0.28,2.39,2026-06-08
YOUW,5.76,5.9,-0.14,-2.37,2026-06-08
GGGL,8.23,8.43,-0.2,-2.37,2026-06-08
KOSM-JUN,5.37,5.5,-0.13,-2.36,2026-06-08
MLCF,85.35,87.4,-2.05,-2.35,2026-06-08
ATBA,213.88,219.0,-5.12,-2.34,2026-06-08
AGHA-JUN,7.95,8.14,-0.19,-2.33,2026-06-08
MQTM,22.0,21.5,0.5,2.33,2026-06-08
PPP,126.19,129.2,-3.01,-2.33,2026-06-08
FZCM,247.29,253.1,-5.81,-2.3,2026-06-08
PIL,5.6,5.73,-0.13,-2.27,2026-06-08
FABL-JUNB,88.8,90.86,-2.06,-2.27,2026-06-08
MTL-JUN,554.11,567.0,-12.89,-2.27,2026-06-08
ICCI,13.62,13.32,0.3,2.25,2026-06-08
SGF,119.98,122.73,-2.75,-2.24,2026-06-08
SHSML,365.15,373.49,-8.34,-2.23,2026-06-08
BHAT,850.83,870.1,-19.27,-2.21,2026-06-08
KOSM,5.33,5.45,-0.12,-2.2,2026-06-08
PSYL,123.39,126.17,-2.78,-2.2,2026-06-08
CLOV,8.48,8.67,-0.19,-2.19,2026-06-08
PAKQATAR,28.58,27.97,0.61,2.18,2026-06-08
ITANZ,48.58,47.55,1.03,2.17,2026-06-08
JSBL,12.64,12.92,-0.28,-2.17,2026-06-08
UNITY,11.31,11.56,-0.25,-2.16,2026-06-08
BWHL,229.71,234.77,-5.06,-2.16,2026-06-08
SSGC-JUN,26.45,27.03,-0.58,-2.15,2026-06-08
NCPL-JUNB,63.64,65.04,-1.4,-2.15,2026-06-08
CHBL,9.25,9.45,-0.2,-2.12,2026-06-08
AGP-JUNB,190.96,187.0,3.96,2.12,2026-06-08
AGHA,7.9,8.07,-0.17,-2.11,2026-06-08
PIOC-JUN,272.31,278.17,-5.86,-2.11,2026-06-08
PAEL-JUN,39.72,40.57,-0.85,-2.1,2026-06-08
PAEL,39.41,40.25,-0.84,-2.09,2026-06-08
STPL,7.51,7.67,-0.16,-2.09,2026-06-08
ORM,10.3,10.09,0.21,2.08,2026-06-08
KOHP,27.92,28.51,-0.59,-2.07,2026-06-08
PINL,9.0,9.19,-0.19,-2.07,2026-06-08
JSMFETF,10.1,10.31,-0.21,-2.04,2026-06-08
CSAP,92.08,93.98,-1.9,-2.02,2026-06-08
BAFS,280.0,285.76,-5.76,-2.02,2026-06-08
CPPL,76.11,77.67,-1.56,-2.01,2026-06-08
ASTM,19.84,19.45,0.39,2.01,2026-06-08
NCPL,63.19,64.48,-1.29,-2.0,2026-06-08
FABL,88.23,90.03,-1.8,-2.0,2026-06-08
KEL-JUN,7.95,8.11,-0.16,-1.97,2026-06-08
TELE-JUN,8.44,8.61,-0.17,-1.97,2026-06-08
DWTM,9.84,9.65,0.19,1.97,2026-06-08
MUGHAL,76.0,77.52,-1.52,-1.96,2026-06-08
