Company,Price,PreviousPrice,Change,ChangePct,Date
FPJM,7.89,7.85,0.04,0.51,2026-06-08
AGP,184.09,185.03,-0.94,-0.51,2026-06-08
IREIT,8.02,8.06,-0.04,-0.5,2026-06-08
REDCO,26.07,26.2,-0.13,-0.5,2026-06-08
ASTL,16.14,16.22,-0.08,-0.49,2026-06-08
ALTN,8.27,8.23,0.04,0.49,2026-06-08
SRVI,2040.34,2050.41,-10.07,-0.49,2026-06-08
PCAL,148.79,148.06,0.73,0.49,2026-06-08
GSPM,6.2,6.23,-0.03,-0.48,2026-06-08
BAHL,168.27,169.09,-0.82,-0.48,2026-06-08
WAVES,11.03,10.98,0.05,0.46,2026-06-08
FATIMA-JUL,144.32,144.97,-0.65,-0.45,2026-06-08
HGFA,15.68,15.75,-0.07,-0.44,2026-06-08
THALL,625.55,628.29,-2.74,-0.44,2026-06-08
GHGL-JUN,35.0,35.15,-0.15,-0.43,2026-06-08
FHAM,32.63,32.77,-0.14,-0.43,2026-06-08
SNAI,39.53,39.7,-0.17,-0.43,2026-06-08
HIRAT,7.03,7.06,-0.03,-0.42,2026-06-08
PKGS,730.35,727.27,3.08,0.42,2026-06-08
SYS-JUNB,147.5,148.12,-0.62,-0.42,2026-06-08
STYLERS,47.83,48.03,-0.2,-0.42,2026-06-08
STL,51.12,51.33,-0.21,-0.41,2026-06-08
KSBP,199.04,198.23,0.81,0.41,2026-06-08
FATIMA,141.04,141.61,-0.57,-0.4,2026-06-08
LPL,19.73,19.81,-0.08,-0.4,2026-06-08
ECOP,47.7,47.87,-0.17,-0.36,2026-06-08
MARI-JUN,652.3,654.66,-2.36,-0.36,2026-06-08
MACTER,267.1,268.07,-0.97,-0.36,2026-06-08
GCWL,16.95,17.01,-0.06,-0.35,2026-06-08
PKGP,39.74,39.6,0.14,0.35,2026-06-08
SINDM,23.39,23.47,-0.08,-0.34,2026-06-08
JDWS,928.86,925.69,3.17,0.34,2026-06-08
AABS,901.79,904.87,-3.08,-0.34,2026-06-08
MARI,647.66,649.67,-2.01,-0.31,2026-06-08
MZNPETF,20.44,20.5,-0.06,-0.29,2026-06-08
HTL,41.95,42.07,-0.12,-0.29,2026-06-08
HABSM,73.79,74.0,-0.21,-0.28,2026-06-08
INKL,87.36,87.13,0.23,0.26,2026-06-08
SPAC1,16.25,16.29,-0.04,-0.25,2026-06-08
POL,674.84,676.54,-1.7,-0.25,2026-06-08
SRR,16.07,16.03,0.04,0.25,2026-06-08
DAAG,79.61,79.81,-0.2,-0.25,2026-06-08
AICL-JUNB,74.39,74.21,0.18,0.24,2026-06-08
NCML,12.5,12.53,-0.03,-0.24,2026-06-08
AKBL-JUNB,97.25,97.47,-0.22,-0.23,2026-06-08
MEBL-JUNB,489.99,491.11,-1.12,-0.23,2026-06-08
FECM,17.32,17.36,-0.04,-0.23,2026-06-08
CPHL-JUN,78.46,78.29,0.17,0.22,2026-06-08
AGIC,41.09,41.0,0.09,0.22,2026-06-08
AMTEX,4.86,4.87,-0.01,-0.21,2026-06-08
PTL,51.93,52.04,-0.11,-0.21,2026-06-08
CENI,52.9,53.01,-0.11,-0.21,2026-06-08
SNBL,19.86,19.9,-0.04,-0.2,2026-06-08
BWCL,445.75,446.63,-0.88,-0.2,2026-06-08
KHTC,309.4,309.99,-0.59,-0.19,2026-06-08
PECO,598.41,599.56,-1.15,-0.19,2026-06-08
FTMM,16.4,16.43,-0.03,-0.18,2026-06-08
MCBIM,169.51,169.81,-0.3,-0.18,2026-06-08
KHYT,1525.08,1527.83,-2.75,-0.18,2026-06-08
CSIL,6.07,6.06,0.01,0.17,2026-06-08
AKBL,96.66,96.5,0.16,0.17,2026-06-08
TRIPF,145.6,145.36,0.24,0.17,2026-06-08
AHL,108.74,108.92,-0.18,-0.17,2026-06-08
PICT,38.22,38.28,-0.06,-0.16,2026-06-08
JDMT,102.0,102.16,-0.16,-0.16,2026-06-08
MSOT,78.87,78.75,0.12,0.15,2026-06-08
GHGL,34.88,34.83,0.05,0.14,2026-06-08
ALAC,23.31,23.28,0.03,0.13,2026-06-08
DCR,36.18,36.14,0.04,0.11,2026-06-08
HRPL,18.58,18.6,-0.02,-0.11,2026-06-08
SBL,9.93,9.92,0.01,0.1,2026-06-08
PACE-JUN,11.66,11.67,-0.01,-0.09,2026-06-08
WAVES-JUN,11.13,11.14,-0.01,-0.09,2026-06-08
HUMNL,11.12,11.11,0.01,0.09,2026-06-08
GEMBCEM,11.0,11.01,-0.01,-0.09,2026-06-08
PIBTL,17.15,17.14,0.01,0.06,2026-06-08
PIBTL-JUN,17.3,17.29,0.01,0.06,2026-06-08
HBLTETF,112.37,112.44,-0.07,-0.06,2026-06-08
SNBL-JUN,20.16,20.17,-0.01,-0.05,2026-06-08
FRCL,75.0,75.03,-0.03,-0.04,2026-06-08
HMB,115.47,115.51,-0.04,-0.03,2026-06-08
FEROZ,391.0,391.1,-0.1,-0.03,2026-06-08
BOK,32.58,32.59,-0.01,-0.03,2026-06-08
TSML,385.45,385.55,-0.1,-0.03,2026-06-08
ILP,81.49,81.51,-0.02,-0.02,2026-06-08
SHFA,472.93,473.02,-0.09,-0.02,2026-06-08
CPHL,77.76,77.75,0.01,0.01,2026-06-08
SHEZ,229.97,229.99,-0.02,-0.01,2026-06-08
TSBL,1.79,1.79,0.0,0.0,2026-06-08
GRR,19.66,19.66,0.0,0.0,2026-06-08
FATIMA-JUN,140.0,140.0,0.0,0.0,2026-06-08
OLPM,24.0,24.0,0.0,0.0,2026-06-08
BNWM,64.77,64.77,0.0,0.0,2026-06-08
RUPL,26.5,26.5,0.0,0.0,2026-06-08
PAKL,40.8,40.8,0.0,0.0,2026-06-08
HUSI,36.0,36.0,0.0,0.0,2026-06-08
SMCPL,42.31,42.31,0.0,0.0,2026-06-08
EFUG,124.56,124.56,0.0,0.0,2026-06-08
ARMG,51.17,51.17,0.0,0.0,2026-06-08
ALNRS,129.21,129.21,0.0,0.0,2026-06-08
REWM,180.68,180.68,0.0,0.0,2026-06-08
SANSM,127.5,127.5,0.0,0.0,2026-06-08
FSWL,80.29,80.29,0.0,0.0,2026-06-08
OML,32.33,32.33,0.0,0.0,2026-06-08
GEMNETS,25.41,25.41,0.0,0.0,2026-06-08
ALIFE,31.66,31.66,0.0,0.0,2026-06-08
NSRM,133.5,133.5,0.0,0.0,2026-06-08
SASML,419.98,419.98,0.0,0.0,2026-06-08
SHJS,171.0,171.0,0.0,0.0,2026-06-08
KCL,136.79,136.79,0.0,0.0,2026-06-08
ASIC,33.84,33.84,0.0,0.0,2026-06-08
ELCM,195.84,195.84,0.0,0.0,2026-06-08
CFL,59.99,59.99,0.0,0.0,2026-06-08
PIM,23.35,23.35,0.0,0.0,2026-06-08
HAFL,395.18,395.18,0.0,0.0,2026-06-08
SIEM,1516.24,1516.24,0.0,0.0,2026-06-08
SSML,24.78,24.78,0.0,0.0,2026-06-08
FIMM,214.64,214.64,0.0,0.0,2026-06-08
JKSM,158.91,158.91,0.0,0.0,2026-06-08
ELSM,112.0,112.0,0.0,0.0,2026-06-08
ANLNV,8.4,8.4,0.0,0.0,2026-06-08
IML,24.98,24.98,0.0,0.0,2026-06-08
BUXL,159.41,159.41,0.0,0.0,2026-06-08
FASM,332.5,332.5,0.0,0.0,2026-06-08
HWQS,19.49,19.49,0.0,0.0,2026-06-08
SAPT,1378.13,1378.13,0.0,0.0,2026-06-08
EWIC,52.3,52.3,0.0,0.0,2026-06-08
AKGL,52.03,52.03,0.0,0.0,2026-06-08
NATM,80.0,80.0,0.0,0.0,2026-06-08
PMRS,443.79,443.79,0.0,0.0,2026-06-08
PRET,495.0,495.0,0.0,0.0,2026-06-08
